VersionNumber,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157.0,200.0,157.0,25.0,253.0,171.0,157.0,21.375,3,8,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81.0,93.0,81.0,23.25,104.0,82.0,81.0,20.5,3,4,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84.0,134.0,84.0,44.666668,183.0,85.0,84.0,28.333334,2,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762.0,1677.0,762.0,139.75,2377.0,985.0,762.0,82.083336,3,12,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248.0,338.0,248.0,48.285713,378.0,302.0,248.0,43.142857,3,7,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169.0,261.0,169.0,29.0,324.0,200.0,169.0,22.222221,3,9,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196.0,242.0,196.0,40.333332,270.0,214.0,196.0,35.666668,3,6,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67.0,76.0,67.0,19.0,85.0,67.0,67.0,16.75,3,4,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,165.0,209.0,165.0,52.25,226.0,192.0,165.0,48.0,3,4,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,173.0,196.0,173.0,49.0,216.0,176.0,173.0,44.0,3,4,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,103.0,129.0,103.0,21.5,153.0,109.0,103.0,18.166666,2,6,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,1,1,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87.0,88.0,87.0,44.0,89.0,87.0,87.0,43.5,2,2,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85.0,86.0,85.0,43.0,87.0,85.0,85.0,42.5,2,2,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,105.0,150.0,105.0,75.0,151.0,149.0,105.0,74.5,1,2,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,216.0,224.0,216.0,56.0,232.0,216.0,216.0,54.0,2,4,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377.0,397.0,377.0,99.25,417.0,377.0,377.0,94.25,2,4,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,253.0,257.0,253.0,128.5,259.0,255.0,253.0,127.5,1,2,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,1,1,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,1,1,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,1,1,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,1,1,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,1,1,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181.0,206.0,181.0,29.428572,228.0,192.0,181.0,27.428572,3,7,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154.0,241.0,154.0,60.25,249.0,233.0,154.0,58.25,3,4,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393.0,673.0,393.0,61.18182,769.0,583.0,393.0,53.0,3,11,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132.0,214.0,132.0,71.333336,221.0,207.0,132.0,69.0,3,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533.0,568.0,533.0,71.0,591.0,547.0,533.0,68.375,3,8,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603.0,713.0,603.0,79.22222,793.0,637.0,603.0,70.77778,3,9,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,1,1,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174.0,185.0,174.0,61.666668,195.0,175.0,174.0,58.333332,2,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148.0,159.0,148.0,53.0,169.0,149.0,148.0,49.666668,2,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92.0,163.0,92.0,27.166666,905.0,771.0,675.0,128.5,3,6,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234.0,463.0,234.0,77.166664,667.0,259.0,234.0,43.166668,3,6,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54.0,59.0,54.0,19.666666,64.0,54.0,54.0,18.0,3,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38.0,43.0,38.0,21.5,48.0,38.0,38.0,19.0,2,2,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98.0,102.0,98.0,51.0,106.0,98.0,98.0,49.0,2,2,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39.0,50.0,39.0,16.666666,60.0,40.0,39.0,13.333333,2,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69.0,73.0,69.0,24.333334,102.0,94.0,69.0,31.333334,3,3,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48.0,56.0,48.0,18.666666,64.0,48.0,48.0,16.0,2,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63.0,67.0,63.0,33.5,71.0,63.0,63.0,31.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237.0,257.0,237.0,128.5,277.0,237.0,237.0,118.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133.0,139.0,133.0,46.333332,145.0,133.0,133.0,44.333332,2,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137.0,151.0,137.0,37.75,164.0,138.0,137.0,34.5,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177.0,182.0,177.0,60.666668,186.0,178.0,177.0,59.333332,2,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46.0,47.0,46.0,23.5,48.0,46.0,46.0,23.0,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128.0,138.0,128.0,27.6,147.0,129.0,128.0,25.8,3,5,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149.0,153.0,149.0,51.0,156.0,150.0,149.0,50.0,2,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58.0,59.0,58.0,29.5,60.0,58.0,58.0,29.0,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149.0,152.0,149.0,76.0,155.0,149.0,149.0,74.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74.0,78.0,74.0,39.0,82.0,74.0,74.0,37.0,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38.0,40.0,38.0,20.0,42.0,38.0,38.0,19.0,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39.0,40.0,39.0,20.0,41.0,39.0,39.0,19.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96.0,108.0,96.0,27.0,119.0,97.0,96.0,24.25,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88.0,92.0,88.0,30.666666,95.0,89.0,88.0,29.666666,2,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71.0,79.0,71.0,19.75,86.0,72.0,71.0,18.0,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114.0,124.0,114.0,31.0,133.0,115.0,114.0,28.75,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,336.0,421.0,336.0,70.166664,499.0,343.0,336.0,57.166668,3,6,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84.0,94.0,84.0,23.5,103.0,85.0,84.0,21.25,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58.0,63.0,58.0,21.0,68.0,58.0,58.0,19.333334,2,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,123.0,131.0,123.0,32.75,138.0,124.0,123.0,31.0,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231.0,250.0,231.0,50.0,262.0,238.0,231.0,47.6,2,5,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586.0,646.0,586.0,161.5,705.0,587.0,586.0,146.75,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366.0,391.0,366.0,78.2,415.0,367.0,366.0,73.4,2,5,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99.0,109.0,99.0,27.25,118.0,100.0,99.0,25.0,2,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66.0,80.0,66.0,40.0,93.0,67.0,66.0,33.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,54.0,64.0,54.0,21.333334,65.0,63.0,54.0,21.0,3,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47.0,51.0,47.0,25.5,55.0,47.0,47.0,23.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183.0,201.0,183.0,50.25,221.0,185.0,183.0,46.25,3,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98.0,101.0,98.0,50.5,103.0,99.0,98.0,49.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1,1,0,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162.0,163.0,162.0,81.5,164.0,162.0,162.0,81.0,2,2,0,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6367.0,12494.0,6367.0,6247.0,18349.0,6639.0,6367.0,3319.5,2,2,0,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,153.0,155.0,153.0,77.5,157.0,153.0,153.0,76.5,2,2,0,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,1,1,0,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41.0,42.0,41.0,21.0,43.0,41.0,41.0,20.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105.0,156.0,105.0,52.0,206.0,106.0,105.0,35.333332,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105.0,150.0,105.0,30.0,193.0,107.0,105.0,21.4,3,5,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92.0,127.0,92.0,31.75,161.0,93.0,92.0,23.25,3,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,101.0,152.0,101.0,50.666668,202.0,102.0,101.0,34.0,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,289.0,290.0,289.0,145.0,291.0,289.0,289.0,144.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32.0,36.0,32.0,18.0,39.0,33.0,32.0,16.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35.0,36.0,35.0,18.0,37.0,35.0,35.0,17.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,29.0,30.0,29.0,15.0,31.0,29.0,29.0,14.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,566.0,605.0,566.0,151.25,639.0,571.0,566.0,142.75,3,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,64.0,80.0,64.0,40.0,96.0,64.0,64.0,32.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29.0,30.0,29.0,15.0,31.0,29.0,29.0,14.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,64.0,65.0,64.0,32.5,66.0,64.0,64.0,32.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37.0,40.0,37.0,20.0,43.0,37.0,37.0,18.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,68.0,79.0,68.0,39.5,90.0,68.0,68.0,34.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,154.0,166.0,154.0,55.333332,177.0,155.0,154.0,51.666668,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,72.0,73.0,72.0,36.5,74.0,72.0,72.0,36.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,385.0,421.0,385.0,70.166664,436.0,406.0,385.0,67.666664,3,6,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,76.0,78.0,76.0,39.0,80.0,76.0,76.0,38.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,159.0,164.0,159.0,54.666668,168.0,160.0,159.0,53.333332,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,737.0,887.0,737.0,295.66666,1036.0,738.0,737.0,246.0,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,74.0,76.0,74.0,38.0,78.0,74.0,74.0,37.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,94.0,98.0,94.0,32.666668,101.0,95.0,94.0,31.666666,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,427.0,440.0,427.0,146.66667,452.0,428.0,427.0,142.66667,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,58.0,59.0,58.0,29.5,60.0,58.0,58.0,29.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,91.0,96.0,91.0,48.0,101.0,91.0,91.0,45.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,27.0,28.0,27.0,14.0,29.0,27.0,27.0,13.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,77.0,79.0,77.0,39.5,81.0,77.0,77.0,38.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,704.0,743.0,704.0,247.66667,781.0,705.0,704.0,235.0,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,63.0,67.0,63.0,33.5,71.0,63.0,63.0,31.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,64.0,65.0,64.0,32.5,66.0,64.0,64.0,32.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,124.0,127.0,124.0,63.5,130.0,124.0,124.0,62.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,160.0,168.0,160.0,42.0,175.0,161.0,160.0,40.25,2,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,36.0,41.0,36.0,20.5,46.0,36.0,36.0,18.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,58.0,61.0,58.0,30.5,63.0,59.0,58.0,29.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,130.0,143.0,130.0,35.75,155.0,131.0,130.0,32.75,2,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,74.0,77.0,74.0,38.5,79.0,75.0,74.0,37.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,83.0,87.0,83.0,29.0,90.0,84.0,83.0,28.0,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,48.0,50.0,48.0,25.0,52.0,48.0,48.0,24.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,60.0,61.0,60.0,30.5,62.0,60.0,60.0,30.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,70.0,76.0,70.0,25.333334,82.0,70.0,70.0,23.333334,2,3,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,183.0,205.0,183.0,51.25,224.0,186.0,183.0,46.5,2,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,452.0,474.0,452.0,118.5,494.0,454.0,452.0,113.5,2,4,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,1,1,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,78.0,82.0,78.0,41.0,86.0,78.0,78.0,39.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,64.0,65.0,64.0,32.5,66.0,64.0,64.0,32.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,31.0,32.0,31.0,16.0,33.0,31.0,31.0,15.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,57.0,61.0,57.0,30.5,65.0,57.0,57.0,28.5,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,104.0,111.0,104.0,55.5,118.0,104.0,104.0,52.0,2,2,0,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,1,1,0,False
